2025-01-14 19:23:27,774 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\timesince.py first seen with mtime 1730982227.400159
2025-01-14 19:23:27,776 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\portalocker\portalocker.py first seen with mtime 1736774136.4145548
2025-01-14 19:23:27,776 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\spacy\lang\__init__.py first seen with mtime 1736881622.2749517
2025-01-14 19:23:27,776 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\srsly\cloudpickle\__init__.py first seen with mtime 1736774663.9188132
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\shlex.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\cryptography\__init__.py first seen with mtime 1736774698.7232764
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1730982227.192661
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\PyPDF2\generic\_outline.py first seen with mtime 1736774381.1250665
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\spacy\kb\__init__.py first seen with mtime 1736881622.259308
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\click\__init__.py first seen with mtime 1708849615.94119
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\data\_utils\pin_memory.py first seen with mtime 1729581801.19918
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\email\_encoded_words.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\data\datapipes\dataframe\structures.py first seen with mtime 1729581801.1831133
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\fx\experimental\__init__.py first seen with mtime 1729581809.8141453
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_expired_attrs_2_0.py first seen with mtime 1736774682.0223203
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\package\importer.py first seen with mtime 1729581801.3720531
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\html\parser.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\cryptography\hazmat\primitives\ciphers\modes.py first seen with mtime 1736774698.6928566
2025-01-14 19:23:27,778 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\locale.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\_base_connection.py first seen with mtime 1726739510.9746833
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\ao\nn\quantizable\modules\activation.py first seen with mtime 1729581810.1706731
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\docutils\io.py first seen with mtime 1728468984.9694178
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\docx\enum\table.py first seen with mtime 1736774674.246715
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\utils\weight_norm.py first seen with mtime 1729581801.4629512
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_tasks.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\permissions.py first seen with mtime 1730982236.895105
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\wasabi\compat.py first seen with mtime 1736771448.8384407
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\spacy\cli\evaluate.py first seen with mtime 1736881622.2425585
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1730982227.3458192
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\docutils\parsers\rst\directives\__init__.py first seen with mtime 1728468984.9974508
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\thinc\layers\hard_swish_mobilenet.py first seen with mtime 1736881616.8760853
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\docx\text\run.py first seen with mtime 1736774674.2919414
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_pytesttester.py first seen with mtime 1736774682.023544
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rich\_export_format.py first seen with mtime 1736774691.2684639
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1730982227.059254
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\mtia\_utils.py first seen with mtime 1729581801.5450177
2025-01-14 19:23:27,787 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\views.py first seen with mtime 1730982236.9030633
2025-01-14 19:23:27,787 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\spacy\training\loggers.py first seen with mtime 1736881623.0042193
2025-01-14 19:23:27,787 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\status.py first seen with mtime 1730982236.9009926
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\markdown_it\rules_block\blockquote.py first seen with mtime 1726739717.127162
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\chardet\mbcharsetprober.py first seen with mtime 1728468987.9420092
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\fx\_utils.py first seen with mtime 1729581809.8141453
